date,Open,High,Low,Close
2022-07-03 20:00:00,1808.215,1811.388,1807.588,1808.064
2022-07-03 21:00:00,1808.068,1808.464,1805.378,1807.888
2022-07-03 22:00:00,1807.908,1814.198,1807.748,1809.468
2022-07-03 23:00:00,1809.498,1813.318,1809.118,1811.264
2022-07-04 00:00:00,1811.268,1812.518,1810.604,1812.254
2022-07-04 01:00:00,1812.254,1813.304,1810.894,1812.504
2022-07-04 02:00:00,1812.504,1812.818,1809.358,1810.628
2022-07-04 03:00:00,1810.642,1812.178,1808.104,1808.664
2022-07-04 04:00:00,1808.664,1809.148,1806.324,1807.278
2022-07-04 05:00:00,1807.268,1808.614,1805.074,1805.696
2022-07-04 06:00:00,1805.696,1806.712,1803.836,1803.924
2022-07-04 07:00:00,1803.974,1807.778,1803.974,1805.164
2022-07-04 08:00:00,1805.168,1809.518,1805.038,1807.698
2022-07-04 09:00:00,1807.698,1809.148,1807.074,1808.748
2022-07-04 10:00:00,1808.724,1810.878,1807.955,1809.848
2022-07-04 11:00:00,1809.844,1809.854,1805.465,1806.304
2022-07-04 12:00:00,1806.304,1807.008,1805.314,1806.738
2022-07-04 13:00:00,1806.698,1807.128,1806.258,1806.518
2022-07-04 14:00:00,1806.518,1807.924,1806.428,1807.474
2022-07-04 18:00:00,1807.176,1809.168,1807.058,1809.068
2022-07-04 19:00:00,1809.108,1809.688,1808.108,1809.108
2022-07-04 20:00:00,1809.158,1809.238,1806.438,1807.378
2022-07-04 21:00:00,1807.388,1812.058,1807.308,1811.648
2022-07-04 22:00:00,1811.618,1812.048,1808.918,1809.528
2022-07-04 23:00:00,1809.518,1811.298,1809.298,1810.788
2022-07-05 00:00:00,1810.768,1811.938,1810.238,1811.354
2022-07-05 01:00:00,1811.344,1811.828,1810.098,1811.708
2022-07-05 02:00:00,1811.708,1811.824,1807.998,1809.024
2022-07-05 03:00:00,1809.024,1809.686,1805.654,1806.008
2022-07-05 04:00:00,1805.903,1805.938,1800.528,1800.873
2022-07-05 05:00:00,1800.863,1805.248,1800.21,1803.394
2022-07-05 06:00:00,1803.394,1803.678,1800.628,1801.108
2022-07-05 07:00:00,1801.108,1802.664,1797.338,1798.008
2022-07-05 08:00:00,1798.008,1804.568,1796.208,1800.298
2022-07-05 09:00:00,1800.288,1800.318,1785.198,1786.078
2022-07-05 10:00:00,1786.098,1786.098,1766.208,1767.534
2022-07-05 11:00:00,1767.544,1769.968,1764.888,1768.858
2022-07-05 12:00:00,1768.868,1771.288,1765.674,1767.248
2022-07-05 13:00:00,1767.264,1767.454,1763.748,1764.938
2022-07-05 14:00:00,1764.968,1768.928,1764.668,1765.938
2022-07-05 15:00:00,1765.938,1768.018,1765.438,1766.868
2022-07-05 16:00:00,1766.837,1768.008,1764.308,1764.578
2022-07-05 18:00:00,1763.984,1768.488,1763.984,1767.948
2022-07-05 19:00:00,1767.958,1769.938,1767.604,1769.364
2022-07-05 20:00:00,1769.364,1771.098,1768.558,1771.058
2022-07-05 21:00:00,1771.078,1772.784,1768.208,1768.358
2022-07-05 22:00:00,1768.358,1772.068,1768.274,1770.678
2022-07-05 23:00:00,1770.678,1772.308,1769.088,1769.164
2022-07-06 00:00:00,1769.124,1769.568,1765.818,1766.388
2022-07-06 01:00:00,1766.384,1767.918,1763.0,1763.214
2022-07-06 02:00:00,1763.188,1769.748,1763.058,1769.131
2022-07-06 03:00:00,1769.131,1770.168,1766.464,1767.688
2022-07-06 04:00:00,1767.694,1771.684,1764.884,1766.074
2022-07-06 05:00:00,1766.134,1767.538,1763.858,1763.874
2022-07-06 06:00:00,1763.864,1764.164,1759.934,1761.174
2022-07-06 07:00:00,1761.114,1763.338,1760.308,1763.134
2022-07-06 08:00:00,1763.058,1767.818,1759.438,1765.264
2022-07-06 09:00:00,1765.114,1767.778,1755.305,1760.344
2022-07-06 10:00:00,1760.344,1760.558,1743.474,1743.577
2022-07-06 11:00:00,1743.636,1744.335,1732.624,1733.598
2022-07-06 12:00:00,1733.598,1736.634,1732.128,1735.018
2022-07-06 13:00:00,1735.018,1739.068,1734.754,1736.164
2022-07-06 14:00:00,1736.164,1739.848,1733.418,1738.808
2022-07-06 15:00:00,1738.828,1743.848,1737.774,1739.318
2022-07-06 16:00:00,1739.548,1740.418,1738.098,1738.608
2022-07-06 18:00:00,1738.438,1740.698,1738.338,1739.058
2022-07-06 19:00:00,1739.018,1740.628,1738.314,1739.818
2022-07-06 20:00:00,1739.834,1742.414,1738.418,1741.828
